2025-02-10 at 11:35:47 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:49 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:49 | INFO | Найдено 2 записей.
2025-02-10 at 11:38:15 | ERROR | Бот остановлен!
2025-02-10 at 11:38:23 | INFO | Бот успешно запущен.
2025-02-10 at 11:38:26 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:38:30 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:38:30 | INFO | Найдено 3 записей.
2025-02-10 at 11:38:33 | ERROR | Бот остановлен!
2025-02-10 at 11:47:02 | INFO | Бот успешно запущен.
2025-02-10 at 11:47:10 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:47:14 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:47:14 | INFO | Найдено 3 записей.
2025-02-10 at 11:50:41 | ERROR | Бот остановлен!
2025-02-10 at 11:50:49 | INFO | Бот успешно запущен.
2025-02-10 at 11:50:51 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:50:55 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:50:55 | INFO | Найдено 3 записей.
2025-02-10 at 11:51:24 | ERROR | Бот остановлен!
2025-02-10 at 11:51:34 | INFO | Бот успешно запущен.
2025-02-10 at 11:51:36 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:51:40 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:51:40 | INFO | Найдено 3 записей.
2025-02-10 at 11:52:00 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:52:00 | INFO | Найдено 3 записей.
2025-02-10 at 11:52:50 | ERROR | Бот остановлен!
2025-02-10 at 11:53:20 | INFO | Бот успешно запущен.
2025-02-10 at 11:53:22 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:53:28 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:53:28 | INFO | Найдено 2 записей.
2025-02-10 at 11:53:33 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:53:33 | INFO | Найдено 2 записей.
2025-02-10 at 11:53:47 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:53:47 | INFO | Найдено 2 записей.
2025-02-10 at 11:58:37 | ERROR | Бот остановлен!
2025-02-10 at 11:59:07 | INFO | Бот успешно запущен.
2025-02-10 at 11:59:09 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 12:03:55 | ERROR | Бот остановлен!
2025-02-10 at 12:04:29 | INFO | Бот успешно запущен.
2025-02-10 at 12:04:31 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 12:04:36 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 12:04:36 | INFO | Найдено 3 записей.
2025-02-10 at 12:08:24 | ERROR | Бот остановлен!
2025-02-10 at 12:08:42 | INFO | Бот успешно запущен.
2025-02-10 at 12:08:50 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 12:08:54 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:08:54 | INFO | Найдено 2 записей.
2025-02-10 at 12:08:57 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:08:57 | INFO | Найдено 2 записей.
2025-02-10 at 12:08:59 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:08:59 | INFO | Найдено 2 записей.
2025-02-10 at 12:09:16 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:09:16 | INFO | Найдено 2 записей.
2025-02-10 at 12:09:19 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:09:19 | INFO | Найдено 2 записей.
2025-02-10 at 12:09:27 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 12:09:27 | INFO | Найдено 2 записей.
2025-02-10 at 16:53:58 | ERROR | Бот остановлен!
2025-02-11 at 15:43:54 | INFO | Бот успешно запущен.
2025-02-11 at 15:43:59 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 15:44:09 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 3}
2025-02-11 at 15:44:09 | INFO | Найдено 1 записей.
2025-02-11 at 15:44:34 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:44:34 | INFO | Найдено 3 записей.
2025-02-11 at 15:45:22 | ERROR | Бот остановлен!
2025-02-11 at 15:45:38 | INFO | Бот успешно запущен.
2025-02-11 at 15:45:39 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 15:45:43 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:45:43 | INFO | Найдено 3 записей.
2025-02-11 at 15:45:49 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:45:49 | INFO | Найдено 3 записей.
2025-02-11 at 15:47:42 | ERROR | Бот остановлен!
2025-02-11 at 15:47:59 | INFO | Бот успешно запущен.
2025-02-11 at 15:48:00 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 15:48:05 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:48:05 | INFO | Найдено 3 записей.
2025-02-11 at 15:48:07 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:48:07 | INFO | Найдено 3 записей.
2025-02-11 at 15:59:24 | ERROR | Бот остановлен!
2025-02-11 at 15:59:37 | INFO | Бот успешно запущен.
2025-02-11 at 15:59:39 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 15:59:43 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:59:43 | INFO | Найдено 3 записей.
2025-02-11 at 15:59:45 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 15:59:45 | INFO | Найдено 3 записей.
2025-02-11 at 16:03:48 | ERROR | Бот остановлен!
2025-02-11 at 16:04:06 | INFO | Бот успешно запущен.
2025-02-11 at 16:04:10 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 16:04:15 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 16:04:15 | INFO | Найдено 3 записей.
2025-02-11 at 16:04:17 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 16:04:17 | INFO | Найдено 3 записей.
2025-02-11 at 16:07:14 | ERROR | Бот остановлен!
2025-02-11 at 16:07:28 | INFO | Бот успешно запущен.
2025-02-11 at 16:07:29 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 16:07:33 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 16:07:33 | INFO | Найдено 3 записей.
2025-02-11 at 16:08:02 | ERROR | Бот остановлен!
2025-02-11 at 16:08:15 | INFO | Бот успешно запущен.
2025-02-11 at 16:08:17 | INFO | Запись User с ID 5127841744 найдена.
2025-02-11 at 16:08:21 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-11 at 16:08:21 | INFO | Найдено 3 записей.
2025-02-11 at 16:15:19 | ERROR | Бот остановлен!
